names;value;group;variable
ст.109, ч. 1;10;1;1
ст.109, ч. 2;3;1;2
ст.109, ч. 3;5;1;3
ст.110, ч. 1;5;1;4
ст.110, ч. 2;10;1;5
ст.110, ч. 3;15;1;6
ст.110-2, ч. 1;5;1;7
ст.110-2, ч. 2;7;1;8
ст.110-2, ч. 3;8;1;9
ст.110-2, ч. 4;10;1;10
ст.111, ч. 1;15;1;11
ст.112, ч. 1;15;1;12
ст.113, ч. 1;15;1;13
ст.114, ч. 1;15;1;14
ст.114-1, ч. 1;8;1;15
ст.114-1, ч. 2;15;1;16
ст.115, ч. 1;15;2;1
ст.115, ч. 2;15;2;2
ст.116, ч. 1;5;2;3
ст.117, ч. 1;5;2;4
ст.118, ч. 1;2;2;5
ст.119, ч. 1;5;2;6
ст.119, ч. 2;8;2;7
ст.120, ч. 1;3;2;8
ст.120, ч. 2;5;2;9
ст.120, ч. 3;10;2;10
ст.121, ч. 1;8;2;11
ст.121, ч. 2;10;2;12
ст.122, ч. 1;3;2;13
ст.122, ч. 2;5;2;14
ст.123, ч. 1;2;2;15
ст.124, ч. 1;2;2;16
ст.126, ч. 2;5;2;17
ст.126-1, ч. 1;2;2;18
ст.127, ч. 1;5;2;19
ст.127, ч. 2;10;2;20
ст.128, ч. 1;2;2;21
ст.129, ч. 2;5;2;22
ст.130, ч. 1;3;2;23
ст.130, ч. 2;5;2;24
ст.130, ч. 3;8;2;25
ст.130, ч. 4;10;2;26
ст.131, ч. 1;3;2;27
ст.131, ч. 2;8;2;28
ст.133, ч. 1;2;2;29
ст.133, ч. 2;3;2;30
ст.133, ч. 3;5;2;31
ст.134, ч. 1;2;2;32
ст.134, ч. 2;3;2;33
ст.134, ч. 3;5;2;34
ст.134, ч. 5;5;2;35
ст.135, ч. 1;2;2;36
ст.135, ч. 2;3;2;37
ст.135, ч. 3;8;2;38
ст.136, ч. 2;3;2;39
ст.136, ч. 3;5;2;40
ст.137, ч. 1;3;2;41
ст.137, ч. 2;5;2;42
ст.138, ч. 1;3;2;43
ст.139, ч. 2;3;2;44
ст.140, ч. 1;2;2;45
ст.140, ч. 2;3;2;46
ст.141, ч. 1;5;2;47
ст.142, ч. 1;3;2;48
ст.142, ч. 2;5;2;49
ст.143, ч. 1;3;2;50
ст.143, ч. 2;5;2;51
ст.143, ч. 3;7;2;52
ст.143, ч. 4;5;2;53
ст.143, ч. 5;8;2;54
ст.144, ч. 2;3;2;55
ст.144, ч. 3;5;2;56
ст.146, ч. 1;3;3;1
ст.146, ч. 2;5;3;2
ст.146, ч. 3;10;3;3
ст.146-1, ч. 1;5;3;4
ст.146-1, ч. 2;7;3;5
ст.147, ч. 1;8;3;6
ст.147, ч. 2;15;3;7
ст.148, ч. 1;5;3;8
ст.149, ч. 1;8;3;9
ст.149, ч. 2;12;3;10
ст.149, ч. 3;15;3;11
ст.150, ч. 2;5;3;12
ст.150, ч. 3;10;3;13
ст.150-1, ч. 1;3;3;14
ст.150-1, ч. 2;8;3;15
ст.150-1, ч. 3;10;3;16
ст.151, ч. 1;2;3;17
ст.151, ч. 2;5;3;18
ст.151-2, ч. 1;3;3;19
ст.151-2, ч. 2;5;3;20
ст.152, ч. 1;5;4;1
ст.152, ч. 2;10;4;2
ст.152, ч. 3;12;4;3
ст.152, ч. 4;15;4;4
ст.152, ч. 5;15;4;5
ст.152, ч. 6;15;4;6
ст.153, ч. 1;5;4;7
ст.153, ч. 2;7;4;8
ст.153, ч. 3;7;4;9
ст.153, ч. 4;10;4;10
ст.153, ч. 5;15;4;11
ст.153, ч. 6;15;4;12
ст.154, ч. 3;3;4;13
ст.155, ч. 1;5;4;14
ст.155, ч. 2;8;4;15
ст.156, ч. 1;5;4;16
ст.157, ч. 1;3;5;1
ст.157, ч. 2;5;5;2
ст.157, ч. 3;7;5;3
ст.157, ч. 4;10;5;4
ст.157, ч. 5;3;5;5
ст.158, ч. 1;4;5;6
ст.158, ч. 2;10;5;7
ст.158-1, ч. 1;2;5;8
ст.158-1, ч. 2;2;5;9
ст.158-1, ч. 3;7;5;10
ст.158-2, ч. 1;4;5;11
ст.158-2, ч. 2;5;5;12
ст.158-3, ч. 1;6;5;13
ст.158-3, ч. 2;7;5;14
ст.158-3, ч. 3;7;5;15
ст.158-3, ч. 4;10;5;16
ст.159, ч. 1;2;5;17
ст.159, ч. 2;5;5;18
ст.159-1, ч. 4;5;5;19
ст.160, ч. 1;2;5;20
ст.160, ч. 2;6;5;21
ст.160, ч. 3;6;5;22
ст.160, ч. 4;7;5;23
ст.161, ч. 1;3;5;24
ст.161, ч. 2;5;5;25
ст.161, ч. 3;8;5;26
ст.162, ч. 2;5;5;27
ст.163, ч. 2;7;5;28
ст.166, ч. 1;5;5;29
ст.167, ч. 1;3;5;30
ст.168, ч. 2;3;5;31
ст.169, ч. 1;3;5;32
ст.170, ч. 1;3;5;33
ст.175, ч. 2;5;5;34
ст.176, ч. 1;2;5;35
ст.176, ч. 2;5;5;36
ст.176, ч. 3;6;5;37
ст.177, ч. 1;2;5;38
ст.177, ч. 2;5;5;39
ст.177, ч. 3;6;5;40
ст.178, ч. 1;3;5;41
ст.179, ч. 1;3;5;42
ст.180, ч. 1;2;5;43
ст.180, ч. 2;3;5;44
ст.181, ч. 1;3;5;45
ст.181, ч. 2;5;5;46
ст.182, ч. 2;5;5;47
ст.183, ч. 2;3;5;48
ст.185, ч. 2;5;6;1
ст.185, ч. 3;6;6;2
ст.185, ч. 4;8;6;3
ст.185, ч. 5;12;6;4
ст.186, ч. 1;4;6;5
ст.186, ч. 2;6;6;6
ст.186, ч. 3;8;6;7
ст.186, ч. 4;10;6;8
ст.186, ч. 5;13;6;9
ст.187, ч. 1;7;6;10
ст.187, ч. 2;10;6;11
ст.187, ч. 3;12;6;12
ст.187, ч. 4;15;6;13
ст.188-1, ч. 2;3;6;14
ст.189, ч. 1;5;6;15
ст.189, ч. 2;7;6;16
ст.189, ч. 3;10;6;17
ст.189, ч. 4;12;6;18
ст.190, ч. 2;3;6;19
ст.190, ч. 3;8;6;20
ст.190, ч. 4;12;6;21
ст.191, ч. 1;4;6;22
ст.191, ч. 2;5;6;23
ст.191, ч. 3;8;6;24
ст.191, ч. 4;8;6;25
ст.191, ч. 5;12;6;26
ст.194, ч. 1;3;6;27
ст.194, ч. 2;10;6;28
ст.194-1, ч. 1;3;6;29
ст.194-1, ч. 2;10;6;30
ст.194-1, ч. 3;15;6;31
ст.196, ч. 1;3;6;32
ст.197-1, ч. 2;2;6;33
ст.197-1, ч. 4;3;6;34
ст.198, ч. 1;3;6;35
ст.199, ч. 1;7;7;1
ст.199, ч. 2;10;7;2
ст.199, ч. 3;12;7;3
ст.201, ч. 1;7;7;4
ст.201, ч. 2;12;7;5
ст.201-1, ч. 1;5;7;6
ст.201-1, ч. 2;10;7;7
ст.201-1, ч. 3;12;7;8
ст.204, ч. 2;5;7;9
ст.204, ч. 3;10;7;10
ст.205-1, ч. 1;3;7;11
ст.205-1, ч. 2;5;7;12
ст.206, ч. 2;6;7;13
ст.206, ч. 3;10;7;14
ст.206-2, ч. 1;3;7;15
ст.206-2, ч. 2;5;7;16
ст.206-2, ч. 3;10;7;17
ст.209, ч. 1;6;7;18
ст.209, ч. 2;8;7;19
ст.209, ч. 3;12;7;20
ст.210, ч. 2;6;7;21
ст.211, ч. 1;4;7;22
ст.211, ч. 2;6;7;23
ст.213, ч. 2;3;7;24
ст.218-1, ч. 1;5;7;25
ст.220-1, ч. 4;4;7;26
ст.236, ч. 1;10;8;1
ст.237, ч. 1;5;8;2
ст.238, ч. 1;3;8;3
ст.238, ч. 2;5;8;4
ст.239, ч. 2;5;8;5
ст.239-1, ч. 2;5;8;6
ст.239-1, ч. 3;5;8;7
ст.239-2, ч. 2;5;8;8
ст.239-2, ч. 3;5;8;9
ст.240, ч. 1;2;8;10
ст.240, ч. 2;3;8;11
ст.240, ч. 3;5;8;12
ст.240, ч. 4;8;8;13
ст.240-1, ч. 1;3;8;14
ст.240-1, ч. 2;7;8;15
ст.240-1, ч. 3;8;8;16
ст.241, ч. 2;5;8;17
ст.242, ч. 2;5;8;18
ст.243, ч. 1;3;8;19
ст.243, ч. 2;5;8;20
ст.243, ч. 3;3;8;21
ст.244, ч. 1;2;8;22
ст.245, ч. 1;5;8;23
ст.245, ч. 2;10;8;24
ст.246, ч. 1;3;8;25
ст.246, ч. 2;5;8;26
ст.246, ч. 3;5;8;27
ст.246, ч. 4;7;8;28
ст.248, ч. 2;5;8;29
ст.249, ч. 2;3;8;30
ст.250, ч. 1;3;8;31
ст.251, ч. 1;3;8;32
ст.252, ч. 2;12;8;33
ст.253, ч. 2;5;8;34
ст.254, ч. 2;3;8;35
ст.254, ч. 3;5;8;36
ст.254, ч. 4;7;8;37
ст.255, ч. 1;12;9;1
ст.255, ч. 2;12;9;2
ст.255, ч. 3;13;9;3
ст.255, ч. 4;15;9;4
ст.255, ч. 5;15;9;5
ст.255-1, ч. 1;10;9;6
ст.255-1, ч. 2;15;9;7
ст.255-1, ч. 3;15;9;8
ст.255-2, ч. 1;12;9;9
ст.255-3, ч. 1;7;9;10
ст.256, ч. 1;5;9;11
ст.256, ч. 2;10;9;12
ст.257, ч. 1;15;9;13
ст.258, ч. 1;10;9;14
ст.258, ч. 2;12;9;15
ст.258, ч. 3;15;9;16
ст.258-1, ч. 1;5;9;17
ст.258-1, ч. 2;7;9;18
ст.258-2, ч. 1;3;9;19
ст.258-2, ч. 2;5;9;20
ст.258-3, ч. 1;15;9;21
ст.258-4, ч. 1;8;9;22
ст.258-4, ч. 2;10;9;23
ст.258-5, ч. 1;8;9;24
ст.258-5, ч. 2;10;9;25
ст.258-5, ч. 3;12;9;26
ст.259, ч. 1;6;9;27
ст.259, ч. 2;8;9;28
ст.260, ч. 1;5;9;29
ст.260, ч. 2;8;9;30
ст.260, ч. 3;10;9;31
ст.260, ч. 4;12;9;32
ст.260, ч. 5;15;9;33
ст.261, ч. 1;12;9;34
ст.262, ч. 1;7;9;35
ст.262, ч. 2;10;9;36
ст.262, ч. 3;15;9;37
ст.263, ч. 1;7;9;38
ст.263, ч. 2;3;9;39
ст.263-1, ч. 1;7;9;40
ст.263-1, ч. 2;10;9;41
ст.263-1, ч. 3;12;9;42
ст.264, ч. 1;3;9;43
ст.265, ч. 1;5;9;44
ст.265, ч. 2;8;9;45
ст.265, ч. 3;15;9;46
ст.265-1, ч. 1;5;9;47
ст.265-1, ч. 2;8;9;48
ст.265-1, ч. 3;15;9;49
ст.266, ч. 1;3;9;50
ст.266, ч. 2;5;9;51
ст.267, ч. 1;3;9;52
ст.267, ч. 2;12;9;53
ст.267-1, ч. 1;3;9;54
ст.267-1, ч. 2;4;9;55
ст.267-1, ч. 3;5;9;56
ст.267-1, ч. 4;7;9;57
ст.268, ч. 2;3;9;58
ст.269, ч. 1;2;9;59
ст.269, ч. 2;10;9;60
ст.270, ч. 1;3;9;61
ст.270, ч. 2;8;9;62
ст.270-1, ч. 1;3;9;63
ст.270-1, ч. 2;8;9;64
ст.270-1, ч. 3;12;9;65
ст.271, ч. 2;7;10;1
ст.272, ч. 2;8;10;2
ст.273, ч. 1;3;10;3
ст.273, ч. 2;10;10;4
ст.274, ч. 1;4;10;5
ст.274, ч. 2;12;10;6
ст.275, ч. 2;5;10;7
ст.276, ч. 2;7;11;1
ст.276, ч. 3;10;11;2
ст.276-1, ч. 1;3;11;3
ст.277, ч. 1;3;11;4
ст.277, ч. 2;8;11;5
ст.277, ч. 3;15;11;6
ст.278, ч. 1;6;11;7
ст.278, ч. 2;8;11;8
ст.278, ч. 3;15;11;9
ст.279, ч. 2;8;11;10
ст.279, ч. 3;15;11;11
ст.280, ч. 2;5;11;12
